,FECHA_DOC,CANT,MARGEN_UNITARIO_CALCULADO
360,2022-03-23,2,3410.68
361,2022-03-24,1,488.13
362,2022-03-24,4,489.47
363,2022-03-24,4,472.66
364,2022-03-24,3,481.11
365,2022-03-24,1,528.72
366,2022-03-24,1,754.72
367,2022-03-24,3,390.08
368,2022-03-25,6,1903.42
369,2022-03-25,10,1668.45
370,2022-03-25,1,480.32
371,2022-03-25,1,452.12
372,2022-03-25,1,81.04
373,2022-03-28,2,16939.56
374,2022-03-28,25,61.37
375,2022-03-28,2,119.27
376,2022-03-28,2,1139.66
377,2022-03-28,1,533.99
378,2022-03-28,3,415.68
379,2022-03-28,8,427.54
380,2022-03-28,2,322.72
381,2022-03-28,2,199.48
382,2022-03-28,1,177.14
383,2022-03-29,3,1982.12
384,2022-03-29,4,1046.82
385,2022-03-29,2,742.59
386,2022-03-29,2,754.58
387,2022-03-29,2,773.8
388,2022-03-29,2,788.34
389,2022-03-29,1,118.15
390,2022-03-29,1,215.0
391,2022-03-29,1,462.68
392,2022-03-29,1,946.57
393,2022-03-29,1,531.5
394,2022-03-29,18,3435.8
395,2022-03-30,2,386.94
396,2022-03-30,1,790.77
397,2022-03-30,3,116.51
398,2022-03-30,1,452.14
399,2022-03-30,1,1235.32
400,2022-03-30,1,532.1
401,2022-03-31,1,363.93
402,2022-03-31,1,761.79
403,2022-03-31,60,958.52
404,2022-03-31,1,225.0
405,2022-03-31,12,1065.53
406,2022-03-31,12,473.55
407,2022-03-31,1,811.12
408,2022-03-31,6,473.55
409,2022-03-31,6,555.39
410,2022-03-31,25,1109.2
411,2022-03-31,1,2316.77
412,2022-03-31,10,1118.55
413,2022-03-31,3,2262.15
414,2022-03-31,18,383.9
415,2022-03-31,2,1382.49
416,2022-03-31,4,2153.07
417,2022-03-31,1,3650.1
418,2022-03-31,3,568.76
419,2022-03-31,1,19370.94
420,2022-03-31,2,4201.74
421,2022-04-01,1,298.24
422,2022-04-04,1,77.3
423,2022-04-04,1,521.36
424,2022-04-04,1,453.64
425,2022-04-04,1,521.36
426,2022-04-04,1,439.11
427,2022-04-04,1,505.63
428,2022-04-04,1,487.63
429,2022-04-05,1,771.84
430,2022-04-05,3,598.98
431,2022-04-05,4,547.13
432,2022-04-05,1,1919.29
433,2022-04-05,4,1982.41
434,2022-04-05,1,940.45
435,2022-04-05,2,2039.68
436,2022-04-06,2,1499.64
437,2022-04-06,1,215.0
438,2022-04-06,4,776.8
439,2022-04-06,2,357.95
440,2022-04-06,1,244.17
441,2022-04-07,5,533.8
442,2022-04-07,3,527.06
443,2022-04-07,1,102.09
444,2022-04-07,25,0.74
445,2022-04-07,4,712.32
446,2022-04-07,5,347.49
447,2022-04-07,4,916.17
448,2022-04-07,2,1235.33
449,2022-04-07,1,464.26
450,2022-04-08,2,2099.1
451,2022-04-08,1,93.16
452,2022-04-08,1,328.13
453,2022-04-11,2,340.6
454,2022-04-11,1,259.46
455,2022-04-11,3,653.96
456,2022-04-11,1,703.93
457,2022-04-11,1,114.51
458,2022-04-11,1,1602.62
459,2022-04-11,2,1101.35
460,2022-04-12,2,617.13
461,2022-04-12,1,600.22
462,2022-04-12,1,1723.65
463,2022-04-13,1,832.79
464,2022-04-13,10,504.15
465,2022-04-13,1,478.79
466,2022-04-13,9,922.17
467,2022-04-13,1,987.6
468,2022-04-13,6,619.36
469,2022-04-13,1,463.56
470,2022-04-13,1,791.24
471,2022-04-13,1,791.24
472,2022-04-13,25,52.97
473,2022-04-18,1,899.4
474,2022-04-19,1,551.92
475,2022-04-19,3,924.61
476,2022-04-19,4,259.46
477,2022-04-19,4,1121.32
478,2022-04-19,1,637.02
479,2022-04-20,1,19950.17
480,2022-04-20,2,1411.2
481,2022-04-21,2,77.43
482,2022-04-21,1,811.34
483,2022-04-21,2,428.07
484,2022-04-21,5,491.56
485,2022-04-21,2,686.95
486,2022-04-21,6,485.81
487,2022-04-21,1,1952.46
488,2022-04-21,3,2029.25
489,2022-04-21,1,67.21
490,2022-04-22,3,368.66
491,2022-04-22,2,423.82
492,2022-04-22,2,93.77
493,2022-04-22,1,114.51
494,2022-04-22,1,462.85
495,2022-04-22,1,951.15
496,2022-04-22,3,951.15
497,2022-04-25,10,649.06
498,2022-04-25,1,242.0
499,2022-04-25,20,32.87
500,2022-04-25,1,439.2
501,2022-04-25,2,723.87
502,2022-04-25,3,788.03
503,2022-04-25,18,3435.8
504,2022-04-26,6,619.36
505,2022-04-26,10,177.63
506,2022-04-26,4,1074.92
507,2022-04-26,2,686.95
508,2022-04-26,2,661.91
509,2022-04-26,1,663.98
510,2022-04-26,1,548.08
511,2022-04-26,2,102.09
512,2022-04-27,2,1054.81
513,2022-04-27,1,6481.35
514,2022-04-27,2,4197.91
515,2022-04-27,5,130.54
516,2022-04-27,1,586.0
517,2022-04-27,1,1141.04
518,2022-04-27,3,2090.02
519,2022-04-27,5,5605.4
520,2022-04-28,2,742.22
521,2022-04-28,1,3115.06
522,2022-04-28,5,460.01
523,2022-04-28,2,3275.91
524,2022-04-29,1,276.29
525,2022-04-29,1,914.37
526,2022-04-29,1,1130.44
527,2022-04-29,1,340.6
528,2022-04-29,2,347.46
529,2022-04-29,12,688.8
530,2022-04-29,2,1992.47
531,2022-04-29,7,601.86
532,2022-04-29,4,2200.88
533,2022-04-29,35,1139.79
534,2022-04-29,10,2262.15
535,2022-04-29,1,2466.93
536,2022-05-02,10,426.74
537,2022-05-02,2,323.01
538,2022-05-03,2,265.89
539,2022-05-03,6,130.27
540,2022-05-03,1,510.0
541,2022-05-03,1,393.21
542,2022-05-04,2,401.61
543,2022-05-04,5,340.6
544,2022-05-04,1,259.46
545,2022-05-04,1,820.66
546,2022-05-04,17,33.07
547,2022-05-04,4,1727.06
548,2022-05-04,4,1137.6
549,2022-05-04,1,77.33
550,2022-05-05,6,1858.21
551,2022-05-05,2,477.34
552,2022-05-05,10,232.22
553,2022-05-05,1,1638.08
554,2022-05-05,1,550.77
555,2022-05-05,1,408.3
556,2022-05-05,1,126.37
557,2022-05-06,1,597.52
558,2022-05-06,2,11572.15
559,2022-05-06,2,852.88
560,2022-05-06,15,116.09
561,2022-05-09,1,592.15
562,2022-05-09,4,393.21
563,2022-05-09,1,297.27
564,2022-05-09,1,961.71
565,2022-05-09,20,223.13
566,2022-05-09,6,1225.87
567,2022-05-09,1,799.65
568,2022-05-09,5,296.94
569,2022-05-10,1,1426.09
570,2022-05-10,5,500.75
571,2022-05-10,5,595.75
572,2022-05-11,1,90.43
573,2022-05-11,1,562.48
574,2022-05-11,1,1541.53
575,2022-05-11,6,485.81
576,2022-05-11,5,343.6
577,2022-05-11,2,90.63
578,2022-05-11,10,947.83
579,2022-05-11,5,264.43
580,2022-05-12,2,1952.46
581,2022-05-12,2,438.48
582,2022-05-12,1,1576.73
583,2022-05-12,4,286.97
584,2022-05-12,1,4904.69
585,2022-05-12,1,499.01
586,2022-05-13,1,525.31
587,2022-05-13,2,462.44
588,2022-05-13,1,8475.39
589,2022-05-13,2,761.72
590,2022-05-13,2,276.64
591,2022-05-17,1,1613.91
592,2022-05-17,1,1679.98
593,2022-05-17,1,171.0
594,2022-05-17,1,806.51
595,2022-05-17,1,806.51
596,2022-05-17,2,1396.21
597,2022-05-17,2,1333.66
598,2022-05-18,3,2518.76
599,2022-05-18,1,1806.6
600,2022-05-19,1,503.46
601,2022-05-19,4,929.32
602,2022-05-19,1,1155.74
603,2022-05-19,2,365.89
604,2022-05-19,2,448.91
605,2022-05-19,2,948.18
606,2022-05-20,8,538.02
607,2022-05-20,5,749.26
608,2022-05-20,8,853.12
609,2022-05-20,2,772.58
610,2022-05-23,3,108.07
611,2022-05-23,1,-3960.83
612,2022-05-23,4,2247.11
613,2022-05-23,1,1202.72
614,2022-05-23,6,897.75
615,2022-05-24,60,1051.93
616,2022-05-25,1,518.81
617,2022-05-25,20,396.28
618,2022-05-25,1,132.0
619,2022-05-26,15,305.93
